idx,ch,sisdr_in,snr_in,sir_in,sar_in,sisdr,snr,sir,sar,sisdr_impr,snr_impr,sir_impr,sar_impr
0,0,15.0692215,15.079519,15.842386,23.05687,5.6650977,3.1106133,14.054252,6.512435,-9.404123,-11.968906,-1.7881346,-16.544434
0,1,0.8273545,0.8976152,4.12109,4.9928565,-2.4093623,0.8404597,17.583458,-2.2905352,-3.2367167,-0.05715549,13.462368,-7.283392
0,2,-1.33901,-1.2825391,6.3123584,0.3916021,-0.8169004,2.3348339,21.11353,-0.75548744,0.5221096,3.617373,14.80117,-1.1470895
1,0,7.0999365,7.105141,7.2332535,23.04757,5.62307,4.6125546,38.993217,5.625615,-1.4768667,-2.4925866,31.759964,-17.421955
1,1,11.122483,11.114226,13.959951,14.483868,19.62856,2.9055383,37.080875,19.708204,8.506076,-8.208688,23.120924,5.2243366
1,2,-5.3347406,-5.5180435,-2.5381434,2.3625405,2.3530242,1.9962789,21.672098,2.4335737,7.687765,7.5143223,24.210241,0.07103324
2,0,9.992947,9.993915,10.968295,17.292038,6.7192907,3.5780087,32.917477,6.7319417,-3.273656,-6.415906,21.94918,-10.560097
2,1,3.0726042,3.0552557,5.9434443,7.2116303,11.724764,2.6065388,29.108593,11.81015,8.65216,-0.44871688,23.16515,4.59852
2,2,3.4899507,3.4902718,10.530329,4.8147745,6.2713294,3.4401622,24.71225,6.348614,2.7813787,-0.050109625,14.181921,1.5338397
3,0,7.752817,7.739759,9.311882,13.439445,4.0068455,2.558482,16.204536,4.37974,-3.7459717,-5.1812773,6.8926544,-9.059704
3,1,1.3255948,1.2165891,2.7608328,8.677739,-35.637596,-0.0019377382,-27.932673,-6.8906446,-36.963192,-1.2185268,-30.693504,-15.568384
3,2,8.211082,8.1366005,9.950836,13.443357,6.797929,3.305357,19.120333,7.1129603,-1.4131536,-4.8312435,9.169497,-6.330397
4,0,6.8088837,6.8031216,7.601483,15.282116,3.129716,3.0841997,17.234295,3.3832006,-3.6791677,-3.718922,9.6328125,-11.898915
4,1,9.420161,9.390867,12.4901495,12.609711,8.37594,2.2855365,19.789122,8.746861,-1.0442209,-7.1053305,7.298972,-3.8628492
4,2,-0.5623352,-0.74958867,2.566242,4.2468576,-1.614739,2.033695,18.765282,-1.5174328,-1.0524037,2.7832837,16.19904,-5.7642903
5,0,9.206669,9.221314,10.191353,16.531473,5.3143697,2.4920526,29.182198,5.337468,-3.8922992,-6.729262,18.990845,-11.194005
5,1,3.8876872,3.8647733,5.5732574,9.875953,10.957294,2.2713897,27.772068,11.055928,7.0696073,-1.5933836,22.19881,1.1799755
5,2,3.1845214,3.1813369,6.609232,6.6741133,6.5903068,2.8733335,23.171219,6.7076774,3.4057853,-0.30800343,16.561987,0.03356409
6,0,9.680358,9.717644,10.176409,19.7468,8.593942,1.3356345,17.447355,9.277295,-1.0864162,-8.3820095,7.2709465,-10.469504
6,1,0.42599705,0.5189896,0.8574153,13.271518,-12.001133,0.20219469,25.630045,-11.988521,-12.42713,-0.31679493,24.772629,-25.260038
6,2,5.195363,5.168042,6.4935665,11.951266,13.185468,3.0074465,34.403515,13.219975,7.9901047,-2.1605957,27.909948,1.2687092
7,0,8.889769,8.889048,11.070168,13.25377,5.5083876,1.3491589,15.61824,6.071437,-3.381381,-7.539889,4.548073,-7.182333
7,1,-2.004562,-1.8932719,-0.40981266,6.339393,6.18366,2.9560285,28.469086,6.2155695,8.188222,4.8493004,28.878899,-0.12382364
7,2,7.1074314,7.1547337,12.065254,9.039843,5.2937074,2.3919811,17.593477,5.632228,-1.813724,-4.7627525,5.528223,-3.4076147
8,0,10.913021,10.917682,11.301671,21.898624,8.063972,2.9072723,15.948853,8.944409,-2.8490486,-8.010409,4.6471815,-12.954215
8,1,2.3707845,2.3520062,2.5358934,18.578098,0.09011809,1.7963016,17.924818,0.23168908,-2.2806664,-0.5557046,15.388925,-18.346409
8,2,4.3192825,4.3343306,4.6992702,16.355532,5.0486584,2.8684597,17.313894,5.394287,0.72937584,-1.4658709,12.614624,-10.961245
