idx,ch,stem,SIRB_in,LTR_in,U_in,EXP_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,EXP_out,RBR_out,RBRpct_out,BR
0,0,Vocal,17.019817352294922,-17.01983642578125,0.008831501007080078,99.11685180664062,0.019474966451525688,1.9474966526031494,33.30478286743164,-33.304832458496094,0.005258798599243164,99.47412109375,0.0004670092021115124,0.04670092090964317,16.304346084594727
0,1,Bass,1.3233178853988647,-1.3233190774917603,0.03368544578552246,96.63145446777344,0.42440763115882874,42.44076156616211,16.131969451904297,-16.1319637298584,0.2172510027885437,78.27490234375,0.023787451907992363,2.3787450790405273,14.054718017578125
0,2,Drums,-0.6723365783691406,0.6723365783691406,0.0700652003288269,92.99347686767578,0.5386257171630859,53.862571716308594,16.286727905273438,-16.28672218322754,0.32813870906829834,67.18612670898438,0.022973837330937386,2.2973837852478027,15.85622501373291
1,0,Vocal,7.280515670776367,-7.280514717102051,0.005451798439025879,99.45481872558594,0.1575726568698883,15.7572660446167,31.178922653198242,-31.178863525390625,0.08658009767532349,91.34198760986328,0.0007617151131853461,0.07617150992155075,23.773454666137695
1,1,Bass,12.840656280517578,-12.84066390991211,0.022593140602111816,97.74068450927734,0.04942212253808975,4.942212104797363,32.30852508544922,-32.308509826660156,0.04336047172546387,95.66395568847656,0.000587410875596106,0.05874108895659447,19.4417667388916
1,2,Drums,-4.716185092926025,4.716184616088867,0.1390213966369629,86.09786224365234,0.747616708278656,74.76167297363281,15.665225982666016,-15.665229797363281,0.44451791048049927,55.54821014404297,0.026415063068270683,2.6415061950683594,17.65617561340332
2,0,Vocal,10.238502502441406,-10.238508224487305,0.005233407020568848,99.4766616821289,0.08647123724222183,8.647123336791992,25.86225700378418,-25.862207412719727,0.05337488651275635,94.66251373291016,0.002586179180070758,0.25861790776252747,15.60604476928711
2,1,Bass,3.4800755977630615,-3.4800755977630615,0.033501625061035156,96.64984130859375,0.3097439110279083,30.97439193725586,16.329261779785156,-16.32926368713379,0.18988686800003052,81.01131439208984,0.022755036130547523,2.275503635406494,12.571295738220215
2,2,Drums,4.054874897003174,-4.054873943328857,0.03733450174331665,96.26654815673828,0.2821808457374573,28.21808433532715,17.189146041870117,-17.189136505126953,0.14826226234436035,85.17377471923828,0.018744250759482384,1.8744250535964966,12.728805541992188
3,0,Vocal,8.402610778808594,-8.402610778808594,0.023127079010009766,97.68729400634766,0.12622325122356415,12.62232494354248,21.67404556274414,-21.674102783203125,0.057356178760528564,94.2643814086914,0.006755375768989325,0.6755375862121582,13.097288131713867
3,1,Bass,1.7147566080093384,-1.7147566080093384,0.06285589933395386,93.71440887451172,0.40255340933799744,40.255340576171875,15.173046112060547,-15.173048973083496,0.17300045490264893,82.699951171875,0.029491377994418144,2.9491376876831055,12.497111320495605
3,2,Drums,8.811847686767578,-8.811849594116211,0.03412133455276489,96.5878677368164,0.11619123816490173,11.619123458862305,25.333070755004883,-25.333099365234375,0.07036560773849487,92.96343994140625,0.0029202401638031006,0.29202401638031006,16.313074111938477
4,0,Vocal,6.961398124694824,-6.961398601531982,0.006598353385925293,99.34016418457031,0.1675737053155899,16.757369995117188,21.46600341796875,-21.46601104736328,0.04931420087814331,95.0685806274414,0.007084538694471121,0.708453893661499,14.203017234802246
4,1,Bass,9.987781524658203,-9.987780570983887,0.019009292125701904,98.09906768798828,0.09114189445972443,9.114189147949219,27.070289611816406,-27.070228576660156,0.04004567861557007,95.99542999267578,0.0019594288896769285,0.19594289362430573,16.89211654663086
