idx,ch,stem,lag_in,lag_out,sisdr_in,sisnr_in,sir_in,sar_in,sisdr,sisnr,sir,sar,sisdr_impr,sisnr_impr,sir_impr,sar_impr
0,0,Vocal,0,0,15.06560970927585,15.06560970927585,15.838624311296217,23.054120707123694,21.892973747556958,21.89297374755696,29.742847884299174,22.675847487627593,6.827364038281107,6.827364038281111,13.904223573002957,-0.3782732194961014
0,1,Bass,0,0,0.8294201956238295,0.8294201956238295,4.119677145069972,4.998383573502383,4.738798309093167,4.738798309093167,24.08111702831265,4.806561508082773,3.9093781134693377,3.9093781134693377,19.96143988324268,-0.19182206541961033
0,2,Drums,0,0,-1.340344652271881,-1.340344652271881,6.310788086952819,0.39061310862224646,2.531612840407867,2.5316128404078677,26.25154396964661,2.5603762919768016,3.8719574926797478,3.8719574926797486,19.940755882693793,2.169763183354555
1,0,Vocal,0,0,7.100759197213993,7.100759197213993,7.234107754951041,23.047243876085002,9.031512232203099,9.031512232203095,36.54811158656947,9.040174008571705,1.930753034989106,1.9307530349891024,29.31400383161843,-14.007069867513296
1,1,Bass,0,0,11.122096731225033,11.122096731225033,13.959560841100204,14.483495096321528,13.091072611316664,13.091072611316665,40.888219431476486,13.098644789809189,1.9689758800916302,1.968975880091632,26.92865859037628,-1.3848503065123392
1,2,Drums,0,0,-5.334366674805759,-5.334366674805759,-2.537670218508672,2.3624967760722035,-0.27441971725704134,-0.27441971725704134,23.114699333896553,-0.2333257148389896,5.059946957548718,5.059946957548718,25.652369552405226,-2.595822490911193
2,0,Vocal,0,0,9.992874663236528,9.992874663236528,10.968265185695827,17.29180326226539,11.985202917732408,11.985202917732408,37.033285041581756,11.999666418687234,1.992328254495881,1.992328254495881,26.06501985588593,-5.292136843578156
2,1,Bass,0,0,3.0724215382715063,3.072421538271504,5.942831757911572,7.212033160122421,5.541401268421577,5.541401268421577,25.76183587819195,5.594387487343977,2.4689797301500707,2.468979730150073,19.819004120280376,-1.617645672778444
2,2,Drums,0,0,3.4908072076694205,3.4908072076694205,10.530404976386269,4.815819502854224,7.007695589049899,7.007695589049899,27.913770556599744,7.050106335599212,3.516888381380478,3.516888381380478,17.383365580213475,2.2342868327449876
3,0,Vocal,0,0,7.75246856366317,7.75246856366317,9.311533173900814,13.439131997586678,11.504178178722878,11.504178178722878,39.611027765973446,11.51137416221231,3.751709615059708,3.751709615059708,30.299494592072634,-1.9277578353743685
3,1,Bass,0,0,1.3257343250493578,1.3257343250493578,2.760973766414579,8.677830221837066,6.163547572273921,6.16354757227392,19.832178212326955,6.39918682628542,4.837813247224563,4.837813247224562,17.071204445912375,-2.2786433955516463
3,2,Drums,0,0,8.21128348449533,8.211283484495329,9.950848699075,13.4439263889682,11.060424784745068,11.060424784745068,31.759584205683133,11.100449881316166,2.8491413002497374,2.849141300249739,21.808735506608134,-2.343476507652033
4,0,Vocal,0,0,6.808831424101822,6.808831424101822,7.601302245775222,15.282728202876042,11.258464818934428,11.258464818934431,24.376807826965443,11.49143991648083,4.449633394832606,4.44963339483261,16.77550558119022,-3.7912882863952113
4,1,Bass,0,0,9.42048610173078,9.420486101730782,12.489949429220502,12.610555500737899,13.36865643289615,13.36865643289615,27.11764371138424,13.564240642002094,3.94817033116537,3.948170331165368,14.627694282163738,0.9536851412641951
4,2,Drums,0,0,-0.5630015323831479,-0.563001532383149,2.5651280676549213,4.2470110653450615,4.857494077852925,4.857494077852925,19.213456932343014,5.071521235351909,5.420495610236073,5.420495610236074,16.648328864688093,0.8245101700068478
5,0,Vocal,0,0,9.206479720316572,9.206479720316572,10.191099618571,16.531546913213077,12.574509315744846,12.574509315744846,34.318634358930545,12.605278461179923,3.3680295954282737,3.3680295954282737,24.127534740359543,-3.9262684520331543
5,1,Bass,0,0,3.8879937779517073,3.8879937779517073,5.573488436500593,9.876369521025863,6.590559346158605,6.590559346158603,28.324215657250413,6.626176034569057,2.7025655682068974,2.7025655682068956,22.75072722074982,-3.250193486456806
5,2,Drums,0,0,3.1848296196895416,3.1848296196895403,6.609247283964997,6.674665958911036,6.448004498915028,6.448004498915028,28.00618100509089,6.485315413401387,3.263174879225486,3.2631748792254873,21.396933721125894,-0.18935054550964914
6,0,Vocal,0,0,9.680088800475218,9.680088800475218,10.176033199602433,19.747430132008176,11.4743684803395,11.4743684803395,27.094244670546654,11.603570640134054,1.7942796798642817,1.7942796798642817,16.91821147094422,-8.143859491874123
6,1,Bass,1,0,0.4497839474892618,0.4497839474892618,1.2115675330257774,10.831265911284941,5.1097570551863205,5.1097570551863205,37.917008481751324,5.112734592335758,4.659973107697058,4.659973107697058,36.705440948725546,-5.718531318949183
6,2,Drums,0,0,5.19564305454077,5.19564305454077,6.493811841357312,11.951595563862384,8.603393102263652,8.603393102263654,35.97387054586716,8.61245450864595,3.4077500477228826,3.4077500477228844,29.480058704509844,-3.339141055216434
7,0,Vocal,0,0,8.893382684799306,8.893382684799306,11.074064150194776,13.25666499518537,11.273517933651299,11.273517933651299,36.34431245782848,11.288058169470041,2.3801352488519925,2.3801352488519925,25.270248307633704,-1.9686068257153284
7,1,Bass,0,0,-2.0024142563053173,-2.0024142563053173,-0.40736482475041425,6.339587262320455,1.198259277650215,1.198259277650215,28.052793722989932,1.2140236255465038,3.2006735339555323,3.2006735339555323,28.460158547740345,-5.125563636773951
7,2,Drums,0,0,7.104156864719134,7.104156864719134,12.061931500333618,9.036782761671564,11.421775902070678,11.421775902070678,29.5474762840465,11.493980606149638,4.317619037351544,4.317619037351544,17.485544783712882,2.457197844478074
8,0,Vocal,0,0,10.912913513662764,10.912913513662764,11.301532809020333,21.89884065767447,14.006969285218755,14.006969285218753,27.32836525828171,14.221987985856163,3.0940557715559915,3.0940557715559898,16.026832449261377,-7.676852671818306
8,1,Bass,0,0,2.371310715829229,2.371310715829229,2.536407535685729,18.578743644376473,6.079335340383324,6.079335340383324,30.061292825136437,6.101011661338296,3.7080246245540947,3.7080246245540947,27.524885289450708,-12.477731983038177
8,2,Drums,0,0,4.318764527927494,4.318764527927494,4.698659783605571,16.35617153647672,8.649662637232561,8.649662637232563,23.116831396561317,8.828905812533174,4.330898109305067,4.3308981093050685,18.418171612955746,-7.527265723943545
9,0,Vocal,0,0,8.555865850864576,8.555865850864576,12.311940344169184,11.177705745242044,11.476310187255867,11.476310187255867,30.08937128103806,11.540746993132556,2.9204443363912915,2.9204443363912915,17.777430936868875,0.3630412478905125
9,1,Bass,0,0,1.7207333694199354,1.7207333694199338,4.711350935468808,6.0152356249888825,4.467801563793599,4.467801563793597,24.96572774556977,4.520520662924986,2.7470681943736635,2.7470681943736635,20.25437681010096,-1.4947149620638962
9,2,Drums,0,0,6.093456892095176,6.093456892095176,9.007365188219236,9.716483074238733,9.342019351136111,9.342019351136111,25.18781397212747,9.469681679726738,3.2485624590409348,3.2485624590409348,16.180448783908233,-0.24680139451199423
10,0,Vocal,0,0,8.95530844558144,8.95530844558144,9.229374071861645,21.580833251084673,12.5692626389686,12.5692626389686,33.10965406368381,12.609903006911157,3.61395419338716,3.61395419338716,23.880279991822167,-8.970930244173516
10,1,Bass,0,0,7.465624722434939,7.465624722434939,7.87806259623773,18.55027524382627,10.224485613107884,10.224485613107884,37.08085193527147,10.234302019857118,2.7588608906729455,2.7588608906729455,29.20278933903374,-8.315973223969152
10,2,Drums,0,0,-0.8437054089559535,-0.8437054089559535,-0.4113014027286892,12.61046683440317,3.322958775098371,3.322958775098371,23.453910687309197,3.3848660896270477,4.166664184054325,4.166664184054325,23.865212090037886,-9.225600744776122
11,0,Vocal,0,0,2.7369236922232085,2.7369236922232085,3.054914147647115,15.994743152117838,5.425020018526622,5.425020018526622,32.47782643068607,5.436043081061289,2.6880963263034134,2.6880963263034134,29.422912283038958,-10.558700071056549
11,1,Bass,0,0,11.02894107855044,11.028941078550442,16.296487430580665,12.662169096429333,13.468048704668314,13.468048704668314,34.46814676886333,13.50423489806399,2.439107626117874,2.439107626117872,18.171659338282662,0.8420658016346572
11,2,Drums,0,0,2.1544841416374947,2.1544841416374947,4.116581827939128,7.971822551246962,6.2509007935644405,6.250900793564441,25.40549643016902,6.316477710063429,4.096416651926946,4.096416651926947,21.28891460222989,-1.655344841183533
12,0,Vocal,0,0,10.446793541960663,10.446793541960664,13.045382128674785,14.122190948806637,13.384691636893889,13.384691636893889,29.647715930624088,13.493311339538185,2.9378980949332263,2.9378980949332245,16.602333801949303,-0.6288796092684521
12,1,Bass,0,0,0.2586673517670759,0.2586673517670768,1.9631897918802186,7.283609037070811,4.082944687748558,4.082944687748558,22.84863850960242,4.163516665617971,3.824277335981482,3.8242773359814812,20.885448717722202,-3.1200923714528397
12,2,Drums,0,0,4.333460547926461,4.333460547926461,7.086589676838945,8.392937332422722,6.944742288059902,6.944742288059902,38.15486510013529,6.948694470558303,2.6112817401334407,2.6112817401334407,31.068275423296345,-1.444242861864419
13,0,Vocal,0,0,12.168283176971093,12.168283176971094,13.093006531608996,19.54815884966399,15.498831938664907,15.498831938664905,29.563923429120877,15.677384579450822,3.330548761693814,3.3305487616938105,16.47091689751188,-3.87077427021317
13,1,Bass,0,0,3.668241806798156,3.668241806798156,7.2038199485763945,6.966846670708486,6.415946884246121,6.415946884246122,27.243381205450827,6.460176964504312,2.7477050774479648,2.7477050774479657,20.039561256874432,-0.5066697062041747
13,2,Drums,0,0,-2.1232877384398887,-2.1232877384398896,4.037977031013964,0.5248304460329094,0.9809445202542194,0.9809445202542194,25.004854063167556,1.0118699350241378,3.104232258694108,3.104232258694109,20.96687703215359,0.4870394889912284
14,0,Vocal,0,0,11.060658074592268,11.060658074592268,11.637826089129465,20.39895028843523,13.35645652893394,13.35645652893394,37.50936309957444,13.37395068633999,2.2957984543416714,2.2957984543416714,25.871537010444978,-7.0249996020952405
14,1,Bass,0,0,4.752279453305071,4.75227945330507,6.2095942790255085,11.134843095820848,8.658452046320273,8.658452046320273,29.86512650833661,8.695948889465306,3.906172593015201,3.906172593015203,23.6555322293111,-2.438894206355542
14,2,Drums,0,0,-1.3116581410221926,-1.3116581410221926,2.2874233935547865,3.1957132448389407,2.3137425739529274,2.313742573952925,25.593590353039673,2.346161270665326,3.62540071497512,3.6254007149751177,23.306166959484887,-0.8495519741736146
15,0,Vocal,0,0,9.823334634556783,9.823334634556783,11.091311681070009,16.113940069187365,12.686479335917095,12.686479335917094,47.0019621155404,12.68817406158422,2.863144701360312,2.8631447013603104,35.91065043447039,-3.425766007603144
15,1,Bass,0,0,2.070135775618716,2.0701357756187164,3.6513225929084028,8.78235292948315,5.231515267798617,5.231515267798617,20.50257013206528,5.401009592118715,3.161379492179901,3.1613794921799006,16.851247539156876,-3.3813433373644344
