Frontend,Subband,Mean cond (dB),Median cond (dB)
LDWT,A2,10.061074995791818,8.860362192350918
LDWT,D2,9.31305151257941,8.420118730699292
LDWT,D1,17.521188130698256,16.733080571468125
Fixed-haar,A2,10.477397848964902,9.246059587329482
Fixed-haar,D2,13.851347659595529,12.929667167219383
Fixed-haar,D1,16.297775201389808,15.474171730125429
Fixed-db2,A2,9.946141176145797,8.818769583004245
Fixed-db2,D2,13.968109057122307,13.026018911913889
Fixed-db2,D1,16.505032726705267,15.66289893143122
Fixed-db4,A2,9.699714111571176,8.657648444236381
Fixed-db4,D2,14.035553446044386,13.072232416770959
Fixed-db4,D1,16.594528853683666,15.74568915947885
Fixed-db8,A2,9.618590026716387,8.577368948459569
Fixed-db8,D2,14.053307735498123,13.079388533426625
Fixed-db8,D1,16.62621526010225,15.790333930881593
Fixed-sym4,A2,9.699714111573266,8.657648444239344
Fixed-sym4,D2,14.035553446044068,13.072232416770813
Fixed-sym4,D1,16.594528853682522,15.745689159478395
Fixed-coif1,A2,9.92953088238263,8.803540428756376
Fixed-coif1,D2,13.972579421924817,13.028607586629324
Fixed-coif1,D1,16.5111030128409,15.666681954350413
