idx,ch,stem,lag_in,lag_out,sisdr_in,sisnr_in,sir_in,sar_in,sisdr,sisnr,sir,sar,sisdr_impr,sisnr_impr,sir_impr,sar_impr
0,0,Vocal,0,0,13.261753300816096,13.261753300816094,63.39613164730687,13.261797030320164,12.333850306380452,12.333850306380452,53.953907046606,12.334166488324726,-0.9279029944356445,-0.9279029944356427,-9.442224600700875,-0.9276305419954376
0,1,Bass,0,-2,8.126555421976814,8.126555421976814,36.7388801842256,8.133457505954956,-25.801552554093533,-25.801552554093533,-1.691686538047201,-21.909476097284323,-33.92810797607035,-33.92810797607035,-38.4305667222728,-30.042933603239277
0,2,Drums,0,0,28.286960060385606,28.286960060385606,38.459886612684855,28.72635720711331,-1.2579439402252985,-1.2579439402252985,45.006321129983235,-1.2577042517932666,-29.544904000610906,-29.544904000610906,6.54643451729838,-29.984061458906577
1,0,Vocal,0,-144,12.87754294003274,12.87754294003274,43.18341610396962,12.881800805737564,-8.313545926425466,-8.313545926425466,32.25279402342144,-8.312011382940849,-21.191088866458205,-21.191088866458205,-10.930622080548183,-21.193812188678415
1,1,Bass,0,0,13.21299935223551,13.21299935223551,26.4269309292363,13.435181978131949,14.152279130883025,14.152279130883025,32.608944513984866,14.217067092608794,0.9392797786475153,0.9392797786475153,6.182013584748567,0.7818851144768448
1,2,Drums,0,0,19.234766235125555,19.234766235125555,24.35663392025431,20.846323553397426,4.717117949460801,4.717117949460801,42.41783960261645,4.718104249290824,-14.517648285664755,-14.517648285664755,18.061205682362143,-16.1282193041066
2,0,Vocal,0,2291,19.64276781744895,19.64276781744895,31.64007258078872,19.928971081524324,-16.69425859861339,-16.694258598613388,17.948548653308517,-16.67030170206824,-36.33702641606234,-36.337026416062336,-13.691523927480201,-36.59927278359257
2,1,Bass,0,258,15.291090879278586,15.291090879278586,28.26277557167891,15.522370509871177,-7.53200082091663,-7.53200082091663,24.125161243994413,-7.513892249946046,-22.823091700195217,-22.823091700195217,-4.137614327684499,-23.036262759817223
2,2,Drums,0,0,23.51765902881782,23.517659028817818,34.896946683408295,23.847281646416135,-0.9643815915975571,-0.9643815915975571,26.458227198438486,-0.9467075414303444,-24.48204062041538,-24.482040620415376,-8.438719484969809,-24.79398918784648
3,0,Vocal,0,0,17.758491709269244,17.758491709269244,38.13015967032774,17.799210583498702,28.206812742126086,28.206812742126086,47.201833375830546,28.261974372454493,10.448321032856843,10.448321032856843,9.071673705502803,10.46276378895579
3,1,Bass,0,-12,7.306945701100042,7.306945701100042,19.963334843398496,7.592738191653776,-11.360477788797303,-11.360477788797303,10.637227778385432,-10.975974402576549,-18.667423489897345,-18.667423489897345,-9.326107065013064,-18.568712594230327
3,2,Drums,0,0,25.10068231862878,25.10068231862878,29.840477068393593,26.881891844072637,-4.550336538473769,-4.550336538473769,31.650762164568647,-4.5463263383231505,-29.65101885710255,-29.65101885710255,1.810285096175054,-31.42821818239579
4,0,Vocal,0,0,13.072441639937027,13.072441639937027,56.49061616161681,13.072648853841704,15.11703145424236,15.11703145424236,61.274907731963985,15.117139502918583,2.0445898143053327,2.0445898143053327,4.784291570347172,2.044490649076879
4,1,Bass,1,1238,12.798842937714493,12.798842937714493,39.082344398892474,12.809610912790523,-11.065350612664027,-11.065350612664027,15.814313363541485,-10.945473420222774,-23.86419355037852,-23.86419355037852,-23.268031035350987,-23.755084333013297
4,2,Drums,0,0,24.759570538231483,24.759570538231483,34.437085406846315,25.256063917601516,-8.306825127208223,-8.306825127208224,23.67099838373308,-8.285462886758935,-33.06639566543971,-33.06639566543971,-10.766087023113233,-33.54152680436045
5,0,Vocal,0,0,16.32929818240615,16.32929818240615,49.726975090778396,16.3313307135966,24.92331884048111,24.92331884048111,48.72801004385461,24.941497190632,8.59402065807496,8.59402065807496,-0.9989650469237858,8.6101664770354
5,1,Bass,0,-225,11.244907435898499,11.244907435898497,28.39539938880192,11.335705839771332,-11.049881634454753,-11.049881634454753,15.53600723621415,-10.92341495279798,-22.294789070353254,-22.29478907035325,-12.85939215258777,-22.259120792569313
5,2,Drums,0,0,23.891365298720565,23.891365298720565,33.625271811238065,24.381421979298175,-0.7409062626562413,-0.7409062626562396,24.271755965153577,-0.7109804919186284,-24.632271561376808,-24.632271561376804,-9.353515846084488,-25.092402471216804
6,0,Vocal,0,0,15.582910890880818,15.582910890880818,28.087425261339448,15.84073910305868,6.612505593968673,6.612505593968673,79.21296666302352,6.612505656628604,-8.970405296912144,-8.970405296912144,51.125541401684075,-9.228233446430078
6,1,Bass,1,-288,14.805744437259914,14.805744437259916,32.19454375285856,14.888327939453038,-10.84338446814147,-10.84338446814147,16.601649925018013,-10.743767726232619,-25.649128905401383,-25.649128905401387,-15.592893827840545,-25.632095665685657
6,2,Drums,0,0,24.431850026870208,24.431850026870208,33.0907339816386,25.06974410268817,5.441348045757609,5.441348045757608,39.42928737217761,5.443577347096501,-18.9905019811126,-18.9905019811126,6.338553390539012,-19.62616675559167
7,0,Vocal,0,13895,10.3415148830392,10.3415148830392,39.59609144425306,10.347150558983609,-44.83188035621222,-44.83188035621222,12.904488929207051,-44.75299627208816,-55.17339523925142,-55.17339523925142,-26.69160251504601,-55.10014683107177
7,1,Bass,0,-717,13.22825825933598,13.228258259335984,31.260742475013856,13.300366797217062,-9.417095611040278,-9.417095611040278,20.071855274623708,-9.371148504301615,-22.64535387037626,-22.645353870376262,-11.188887200390148,-22.671515301518678
7,2,Drums,0,0,21.960980489452474,21.960980489452474,33.05317465907915,22.314710764089355,-2.68586973844674,-2.6858697384467387,37.82675241890384,-2.6847675642951407,-24.646850227899215,-24.646850227899215,4.77357775982469,-24.999478328384495
8,0,Vocal,0,0,21.91168617240352,21.91168617240352,35.45508655395792,22.10935875497161,21.504904844015314,21.504904844015318,37.74418336476371,21.610120421478047,-0.406781328388206,-0.40678132838820247,2.2890968108057876,-0.4992383334935617
8,1,Bass,0,0,18.112788862752208,18.112788862752204,29.116908449674476,18.477196956330232,15.234662078756699,15.234662078756699,31.473775064623805,15.342246750647652,-2.8781267839955085,-2.878126783995505,2.356866614949329,-3.13495020568258
8,2,Drums,0,0,21.232373084590556,21.232373084590552,34.83279557899677,21.42761750570906,10.026853494175715,10.026853494175716,34.33488305795916,10.044589317079506,-11.205519590414841,-11.205519590414836,-0.4979125210376125,-11.383028188629552
9,0,Vocal,0,0,24.063547226540997,24.063547226540997,50.94402755749926,24.07249460976045,25.011353029560134,25.011353029560134,50.17700308131885,25.024629707971133,0.9478058030191363,0.9478058030191363,-0.7670244761804099,0.9521350982106824
9,1,Bass,0,2,14.948607888968779,14.948607888968779,28.56781563463819,15.147606250465127,-28.733762664723514,-28.733762664723514,4.468468111088964,-27.9267172562554,-43.682370553692294,-43.682370553692294,-24.099347523549227,-43.07432350672053
9,2,Drums,0,0,21.4943486318248,21.4943486318248,30.404059522753396,22.095813624366052,12.063543114038582,12.063543114038582,40.08163867999435,12.070828926443477,-9.430805517786217,-9.430805517786217,9.677579157240952,-10.024984697922575
10,0,Vocal,0,0,20.648951578413634,20.648951578413634,39.175143067974815,20.710883531935345,20.63171823493615,20.63171823493615,39.19354564309446,20.69314256821366,-0.017233343477482066,-0.017233343477482066,0.018402575119644382,-0.017740963721685432
10,1,Bass,0,-10,13.698026863448284,13.698026863448288,28.61079305680684,13.846435129805304,-15.479703117732459,-15.479703117732457,21.255010932937964,-15.47938471880887,-29.177729981180743,-29.177729981180747,-7.355782123868877,-29.325819848614174
10,2,Drums,0,0,22.221267632410353,22.221267632410353,32.621421431177296,22.638946953723643,18.11369291459445,18.11369291459445,35.063985979168095,18.20359258026209,-4.107574717815904,-4.107574717815904,2.4425645479907985,-4.4353543734615535
11,0,Vocal,0,0,24.415331043509873,24.415331043509873,51.78938013622745,24.423314675433247,11.16800969749325,11.168009697493249,58.04708652396383,11.168105439428103,-13.247321346016623,-13.247321346016625,6.257706387736377,-13.255209236005143
11,1,Bass,0,14,14.709249303626335,14.709249303626335,26.714875424267955,15.00116152732678,-25.52847471157435,-25.52847471157435,6.587665349820002,-25.482690438797242,-40.23772401520068,-40.23772401520068,-20.12721007444795,-40.48385196612402
11,2,Drums,0,0,18.334923235695868,18.334923235695868,26.458938242552875,19.07116407120084,11.817768458470702,11.817768458470702,25.459370590998706,12.022054920603285,-6.517154777225166,-6.517154777225166,-0.9995676515541696,-7.049109150597555
12,0,Vocal,0,0,22.510199134828763,22.510199134828763,39.572965649676405,22.596936327331637,23.003860072959302,23.003860072959302,41.15757552228808,23.07114043078245,0.4936609381305388,0.4936609381305388,1.5846098726116722,0.47420410345081265
12,1,Bass,0,0,17.82658436581989,17.82658436581989,30.483509160482797,18.072650863644192,15.794231648596035,15.794231648596035,30.667718912674353,15.941702011753748,-2.032352717223855,-2.032352717223855,0.18420975219155622,-2.1309488518904445
12,2,Drums,0,0,20.682476907950868,20.682476907950868,29.991077355292965,21.228484324413262,2.1412718074123047,2.1412718074123047,26.391954165938344,2.1675783707617544,-18.541205100538562,-18.541205100538562,-3.5991231893546214,-19.060905953651506
13,0,Vocal,0,0,24.31914684223402,24.31914684223402,40.39124727911411,24.428182310985207,24.717470669844484,24.717470669844484,41.322316602016606,24.813747647720575,0.39832382761046503,0.39832382761046503,0.9310693229024949,0.3855653367353682
13,1,Bass,0,0,15.725826811418369,15.725826811418369,26.2815349853514,16.136038436552212,3.7093130624329618,3.7093130624329613,29.732256137360913,3.7247945206204847,-12.016513748985407,-12.016513748985407,3.450721152009514,-12.411243915931728
13,2,Drums,0,0,19.24612332306711,19.24612332306711,29.88571749755621,19.642570650069814,5.048235398817761,5.048235398817759,28.409699779066496,5.074568544987014,-14.197887924249349,-14.19788792424935,-1.4760177184897145,-14.568002105082801
14,0,Vocal,0,0,13.47083449441961,13.47083449441961,45.41052954626289,13.473737146671866,15.343045473561395,15.343045473561395,64.19765410451927,15.343100961779054,1.8722109791417854,1.8722109791417854,18.78712455825638,1.8693638151071887
14,1,Bass,0,0,13.532726431994353,13.532726431994355,31.6489328514346,13.60323211041303,14.843216653007884,14.843216653007884,39.5639041755901,14.8583669080252,1.3104902210135307,1.310490221013529,7.914971324155502,1.25513479761217
14,2,Drums,0,0,25.33383926955025,25.33383926955025,36.58686017679309,25.673076591162843,17.671595607729163,17.671595607729163,34.66125448085406,17.760819482683896,-7.662243661821087,-7.662243661821087,-1.9256056959390264,-7.912257108478947
15,0,Vocal,0,0,22.935695156920026,22.935695156920026,44.548871629284335,22.96590387698254,22.995213772883623,22.995213772883616,44.50337055914418,23.026162366371533,0.0595186159635972,0.059518615963590094,-0.04550107014015481,0.06025848938899259
15,1,Bass,0,0,16.05029898479654,16.050298984796544,25.23541249711045,16.621617180975413,13.47096923339623,13.47096923339623,33.451887852921935,13.516771142340257,-2.5793297514003104,-2.579329751400314,8.216475355811486,-3.1048460386351557
15,2,Drums,0,0,18.069702978996553,18.069702978996556,25.99024636018364,18.84515420607768,16.32572577306876,16.32572577306876,26.230222807166697,16.804375645605663,-1.7439772059277914,-1.743977205927795,0.2399764469830572,-2.040778560472017
16,0,Vocal,0,0,12.654305160970502,12.654305160970502,30.975449930455326,12.722172622383642,1.0751997390013224,1.075199739001321,32.138398507929026,1.0812542199728186,-11.57910542196918,-11.579105421969182,1.1629485774736992,-11.640918402410824
16,1,Bass,0,0,5.60528187622204,5.605281876222039,20.23245480877931,5.798539629535018,5.775593520777961,5.775593520777961,20.730255188668664,5.953189927628034,0.17031164455592052,0.1703116445559223,0.4978003798893553,0.15465029809301623
16,2,Drums,0,0,26.48682767984868,26.48682767984868,46.83177836667291,26.5272145362402,17.78742013726969,17.78742013726969,45.84081039001249,17.7943371273171,-8.699407542578989,-8.699407542578989,-0.9909679766604143,-8.732877408923102
17,0,Vocal,0,0,17.71307169158988,17.71307169158988,36.5704379991685,17.770898488854012,17.449795988025514,17.449795988025514,36.02556056340738,17.511587130660864,-0.2632757035643678,-0.2632757035643678,-0.5448774357611157,-0.2593113581931483
17,1,Bass,0,0,5.131813058105412,5.131813058105412,18.106343598979294,5.4231197199853245,5.034597977290899,5.034597977290898,19.671240420898403,5.233139876247147,-0.09721508081451358,-0.09721508081451447,1.5648968219191097,-0.18997984373817722
17,2,Drums,0,0,20.400455877328916,20.400455877328916,25.590348534618826,21.978222478322863,14.300591434846396,14.300591434846396,24.255671546759206,14.779456555844163,-6.09986444248252,-6.09986444248252,-1.3346769878596199,-7.1987659224786995
18,0,Vocal,0,0,5.549837329568384,5.549837329568385,27.872309306783283,5.582435495073988,16.386866322120014,16.386866322120014,62.63500318147422,16.386966547933252,10.83702899255163,10.837028992551629,34.76269387469094,10.804531052859264
18,1,Bass,0,0,4.78323384307144,4.78323384307144,19.06466009630285,5.001916743258377,4.731478958171539,4.7314789581715395,19.115481817007,4.945615410980362,-0.051754884899901654,-0.051754884899900766,0.05082172070415325,-0.05630133227801526
18,2,Drums,0,0,28.54105503803914,28.54105503803914,42.642972503083584,28.71354171308813,20.117952033599863,20.117952033599863,43.22629013119361,20.139439619620013,-8.423103004439277,-8.423103004439277,0.5833176281100236,-8.574102093468117
19,0,Vocal,0,0,6.2062274599116325,6.2062274599116325,29.972095307685507,6.228881399008946,11.336431380224774,11.336431380224774,33.23563589650787,11.36662762050976,5.130203920313141,5.130203920313141,3.263540588822366,5.137746221500814
19,1,Bass,0,0,5.287992592979962,5.287992592979961,19.084853641726657,5.5263433547333545,5.290359459514139,5.290359459514137,19.154572483819052,5.524958248617933,0.00236686653417717,0.002366866534176282,0.06971884209239576,-0.0013851061154213085
19,2,Drums,0,0,29.290706170775323,29.290706170775323,45.48563058404534,29.39639671236,20.469881744445107,20.469881744445107,47.33394895195224,20.478910935624718,-8.820824426330216,-8.820824426330216,1.8483183679068986,-8.917485776735283
20,0,Vocal,0,0,13.644338407266929,13.644338407266929,35.02487424888074,13.677422153747006,13.906713756587333,13.906713756587333,35.409224511029706,13.938800285618246,0.2623753493204042,0.2623753493204042,0.3843502621489634,0.2613781318712398
20,1,Bass,0,0,3.0167355179879207,3.0167355179879207,17.891381993277427,3.2304518567481457,13.703315169954795,13.703315169954795,29.73237901651097,13.817668343665622,10.686579651966873,10.686579651966873,11.840997023233541,10.587216486917477
20,2,Drums,0,0,25.976351875028506,25.976351875028506,38.72526508620747,26.213899095417567,15.066682588624378,15.066682588624378,64.4983895186935,15.066733427662864,-10.909669286404128,-10.909669286404128,25.77312443248603,-11.147165667754702
21,0,Vocal,0,0,11.547463603495341,11.547463603495343,29.801623012087187,11.617415258722701,9.407828144267867,9.407828144267869,32.75444995021007,9.430273640698248,-2.139635459227474,-2.139635459227474,2.952826938122886,-2.1871416180244534
21,1,Bass,0,0,6.760135049088506,6.7601350490885075,20.77693578773929,6.972035667141288,6.258391480309355,6.258391480309355,20.831362781984648,6.448339806665064,-0.5017435687791503,-0.501743568779152,0.05442699424535746,-0.5236958604762236
21,2,Drums,0,0,26.633969641582524,26.633969641582528,43.695295601862796,26.720441125529156,8.791795200543328,8.791795200543328,26.3152849579067,8.879428849388109,-17.842174441039198,-17.842174441039198,-17.380010643956094,-17.841012276141047
22,0,Vocal,0,0,2.0029448997048624,2.002944899704863,18.70787802074193,2.154782467162547,-4.440266090200705,-4.440266090200705,38.27968554554448,-4.43969829262134,-6.443210989905568,-6.443210989905568,19.57180752480255,-6.594480759783887
22,1,Bass,0,0,5.1932989912124805,5.1932989912124805,19.644949420285794,5.398856741722927,5.1138875173302925,5.113887517330293,19.575532990002184,5.319824890621202,-0.07941147388218806,-0.07941147388218717,-0.06941643028361,-0.07903185110172473
22,2,Drums,0,0,28.73049975989749,28.73049975989749,77.90796716453751,28.73054677955727,20.43883779760106,20.438837797601053,48.56907258785305,20.44558212210903,-8.29166196229643,-8.291661962296438,-29.33889457668446,-8.284964657448239
23,0,Vocal,0,0,15.019821013577845,15.019821013577845,40.23015248178278,15.033336515273902,16.62324429286223,16.62324429286223,45.168961720374234,16.629450343862928,1.6034232792843834,1.6034232792843834,4.938809238591453,1.5961138285890257
23,1,Bass,0,0,5.577450534548047,5.577450534548047,19.341733456443105,5.814182188868989,12.201275163304512,12.201275163304512,26.550319671564946,12.37342307205701,6.623824628756465,6.623824628756465,7.208586215121841,6.559240883188021
