idx,ch,stem,SIRB_in,LTR_in,U_in,U0_in,U_legacy_in,EXP_in,EXP0_in,EXP_legacy_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,U0_out,U_legacy_out,EXP_out,EXP0_out,EXP_legacy_out,RBR_out,RBRpct_out,BR
0,0,Vocal,15.40846061706543,-15.40845012664795,0.01893727108836174,0.01893727108836174,0.018357492983341217,98.10626983642578,98.10626983642578,98.16424560546875,0.027978848665952682,2.797884941101074,15.40846061706543,-15.40845012664795,0.01893727108836174,0.01893727108836174,0.018357492983341217,98.10626983642578,98.10626983642578,98.16424560546875,0.027978848665952682,2.797884941101074,0.0
0,1,Bass,17.542253494262695,-17.5422306060791,0.11572378128767014,0.11572357267141342,0.09533397108316422,88.42761993408203,88.42764282226562,90.46659851074219,0.017305904999375343,1.7305904626846313,17.542253494262695,-17.5422306060791,0.11572378128767014,0.11572357267141342,0.09533397108316422,88.42761993408203,88.42764282226562,90.46659851074219,0.017305904999375343,1.7305904626846313,0.0
0,2,Drums,30.38214111328125,-30.38196563720703,0.0005490720504894853,0.0005490718758665025,0.000775906431954354,99.9450912475586,99.9450912475586,99.92240905761719,0.0009149511461146176,0.09149511158466339,30.38214111328125,-30.38196563720703,0.0005490720504894853,0.0005490718758665025,0.000775906431954354,99.9450912475586,99.9450912475586,99.92240905761719,0.0009149511461146176,0.09149511158466339,0.0
1,0,Vocal,13.787598609924316,-13.787601470947266,0.00834906566888094,0.008349057286977768,0.009176293388009071,99.16509246826172,99.16509246826172,99.08236694335938,0.04012849181890488,4.0128493309021,13.787598609924316,-13.787601470947266,0.00834906566888094,0.008349057286977768,0.009176293388009071,99.16509246826172,99.16509246826172,99.08236694335938,0.04012849181890488,4.0128493309021,0.0
1,1,Bass,23.651260375976562,-23.65129280090332,0.041065286844968796,0.04106521233916283,0.04403257742524147,95.89347076416016,95.89347839355469,95.59674072265625,0.004295379389077425,0.42953795194625854,23.651260375976562,-23.65129280090332,0.041065286844968796,0.04106521233916283,0.04403257742524147,95.89347076416016,95.89347839355469,95.59674072265625,0.004295379389077425,0.42953795194625854,0.0
1,2,Drums,19.36960220336914,-19.369611740112305,0.00030699692433699965,0.000306996691506356,0.0,99.96929931640625,99.96929931640625,100.0,0.011430018581449986,1.143001914024353,19.36960220336914,-19.369611740112305,0.00030699692433699965,0.000306996691506356,0.0,99.96929931640625,99.96929931640625,100.0,0.011430018581449986,1.143001914024353,0.0
2,0,Vocal,23.819313049316406,-23.819255828857422,0.006959633436053991,0.006959631107747555,0.007630669511854649,99.30403900146484,99.30403900146484,99.2369384765625,0.004133034497499466,0.4133034348487854,23.819313049316406,-23.819255828857422,0.006959633436053991,0.006959631107747555,0.007630669511854649,99.30403900146484,99.30403900146484,99.2369384765625,0.004133034497499466,0.4133034348487854,0.0
2,1,Bass,27.99541664123535,-27.995269775390625,0.026601046323776245,0.026601046323776245,0.029324756935238838,97.33988952636719,97.33988952636719,97.06752014160156,0.0015840521082282066,0.15840521454811096,27.99541664123535,-27.995269775390625,0.026601046323776245,0.026601046323776245,0.029324756935238838,97.33988952636719,97.33988952636719,97.06752014160156,0.0015840521082282066,0.15840521454811096,0.0
2,2,Drums,28.291349411010742,-28.291301727294922,0.002835423918440938,0.0028354236856102943,0.009404907934367657,99.7164535522461,99.7164535522461,99.05950927734375,0.0014798534102737904,0.1479853391647339,28.291349411010742,-28.291301727294922,0.002835423918440938,0.0028354236856102943,0.009404907934367657,99.7164535522461,99.7164535522461,99.05950927734375,0.0014798534102737904,0.1479853391647339,0.0
3,0,Vocal,23.9071044921875,-23.907058715820312,0.012432693503797054,0.012432693503797054,0.01294680219143629,98.75672912597656,98.75672912597656,98.705322265625,0.004050680436193943,0.405068039894104,23.9071044921875,-23.907058715820312,0.012432693503797054,0.012432693503797054,0.01294680219143629,98.75672912597656,98.75672912597656,98.705322265625,0.004050680436193943,0.405068039894104,0.0
