idx,ch,stem,lag_in,lag_out,sisdr_in,sisnr_in,sir_in,sar_in,sisdr,sisnr,sir,sar,sisdr_impr,sisnr_impr,sir_impr,sar_impr
0,0,Vocal,0,0,13.261753300816096,13.261753300816094,63.39613164730687,13.261797030320164,13.261753300816096,13.261753300816094,63.39613164730687,13.261797030320164,0.0,0.0,0.0,0.0
0,1,Bass,0,0,8.126555421976814,8.126555421976814,36.7388801842256,8.133457505954956,8.126555421976814,8.126555421976814,36.7388801842256,8.133457505954956,0.0,0.0,0.0,0.0
0,2,Drums,0,0,28.286960060385606,28.286960060385606,38.459886612684855,28.72635720711331,28.286960060385606,28.286960060385606,38.459886612684855,28.72635720711331,0.0,0.0,0.0,0.0
1,0,Vocal,0,0,12.87754294003274,12.87754294003274,43.18341610396962,12.881800805737564,12.87754294003274,12.87754294003274,43.18341610396962,12.881800805737564,0.0,0.0,0.0,0.0
1,1,Bass,0,0,13.21299935223551,13.21299935223551,26.4269309292363,13.435181978131949,13.21299935223551,13.21299935223551,26.4269309292363,13.435181978131949,0.0,0.0,0.0,0.0
1,2,Drums,0,0,19.234766235125555,19.234766235125555,24.35663392025431,20.846323553397426,19.234766235125555,19.234766235125555,24.35663392025431,20.846323553397426,0.0,0.0,0.0,0.0
2,0,Vocal,0,0,19.64276781744895,19.64276781744895,31.64007258078872,19.928971081524324,19.64276781744895,19.64276781744895,31.64007258078872,19.928971081524324,0.0,0.0,0.0,0.0
2,1,Bass,0,0,15.291090879278586,15.291090879278586,28.26277557167891,15.522370509871177,15.291090879278586,15.291090879278586,28.26277557167891,15.522370509871177,0.0,0.0,0.0,0.0
2,2,Drums,0,0,23.51765902881782,23.517659028817818,34.896946683408295,23.847281646416135,23.51765902881782,23.517659028817818,34.896946683408295,23.847281646416135,0.0,0.0,0.0,0.0
3,0,Vocal,0,0,17.758491709269244,17.758491709269244,38.13015967032774,17.799210583498702,17.758491709269244,17.758491709269244,38.13015967032774,17.799210583498702,0.0,0.0,0.0,0.0
3,1,Bass,0,0,7.306945701100042,7.306945701100042,19.963334843398496,7.592738191653776,7.306945701100042,7.306945701100042,19.963334843398496,7.592738191653776,0.0,0.0,0.0,0.0
3,2,Drums,0,0,25.10068231862878,25.10068231862878,29.840477068393593,26.881891844072637,25.10068231862878,25.10068231862878,29.840477068393593,26.881891844072637,0.0,0.0,0.0,0.0
4,0,Vocal,0,0,13.072441639937027,13.072441639937027,56.49061616161681,13.072648853841704,13.072441639937027,13.072441639937027,56.49061616161681,13.072648853841704,0.0,0.0,0.0,0.0
4,1,Bass,1,1,12.798842937714493,12.798842937714493,39.082344398892474,12.809610912790523,12.798842937714493,12.798842937714493,39.082344398892474,12.809610912790523,0.0,0.0,0.0,0.0
4,2,Drums,0,0,24.759570538231483,24.759570538231483,34.437085406846315,25.256063917601516,24.759570538231483,24.759570538231483,34.437085406846315,25.256063917601516,0.0,0.0,0.0,0.0
5,0,Vocal,0,0,16.32929818240615,16.32929818240615,49.726975090778396,16.3313307135966,16.32929818240615,16.32929818240615,49.726975090778396,16.3313307135966,0.0,0.0,0.0,0.0
5,1,Bass,0,0,11.244907435898499,11.244907435898497,28.39539938880192,11.335705839771332,11.244907435898499,11.244907435898497,28.39539938880192,11.335705839771332,0.0,0.0,0.0,0.0
5,2,Drums,0,0,23.891365298720565,23.891365298720565,33.625271811238065,24.381421979298175,23.891365298720565,23.891365298720565,33.625271811238065,24.381421979298175,0.0,0.0,0.0,0.0
6,0,Vocal,0,0,15.582910890880818,15.582910890880818,28.087425261339448,15.84073910305868,15.582910890880818,15.582910890880818,28.087425261339448,15.84073910305868,0.0,0.0,0.0,0.0
6,1,Bass,1,1,14.805744437259914,14.805744437259916,32.19454375285856,14.888327939453038,14.805744437259914,14.805744437259916,32.19454375285856,14.888327939453038,0.0,0.0,0.0,0.0
6,2,Drums,0,0,24.431850026870208,24.431850026870208,33.0907339816386,25.06974410268817,24.431850026870208,24.431850026870208,33.0907339816386,25.06974410268817,0.0,0.0,0.0,0.0
