type,method,filter,band_label,support,mu_t,sigma_t_samples,sigma_omega_rad,uncertainty_product,time_width_95_samples,bandwidth_95_rad,time_entropy_bits,time_effective_samples,freq_entropy_bits,freq_effective_bins,intended_band_energy_pct
local,LDWT,L1_h0,lowpass,11.0,6.24567207544425,2.0161876041962428,0.5462350775618514,1.101312392357378,8.0,1.7254407649736179,2.682891917267011,6.421418016781549,14.302252514051496,20202.588237916196,99.27101050966722
local,LDWT,L1_h1,highpass,11.0,3.754327924555749,2.0161876041962428,0.5462350775618515,1.1013123923573782,8.0,1.7254407649736179,2.6828919172670114,6.42141801678155,14.302252514051496,20202.588237916196,99.27101050966722
local,LDWT,L2_h0,lowpass,11.0,4.761704081066807,2.6370921913783274,1.8007613766727797,4.748773764959474,9.0,5.529137876134551,2.87957068047107,7.359310883453031,15.56771444479041,48567.86490142531,57.494004414106655
local,LDWT,L2_h1,highpass,11.0,5.238295918933193,2.637092191378328,1.8007613766727797,4.748773764959475,9.0,5.529137876134551,2.87957068047107,7.359310883453031,15.567714444790406,48567.864901425186,57.494004414106634
effective,LDWT,D1,detail_1,11.0,3.754327924555749,2.0161876041962428,0.5462350775618515,1.1013123923573782,8.0,1.7254407649736179,2.6828919172670114,6.42141801678155,14.302252514051496,20202.588237916196,99.27101050966722
effective,LDWT,D2,detail_2,31.0,15.245700840472429,5.386800895089673,0.5202205524160277,2.802324537398702,18.0,1.8580342293264829,3.6435078956390288,12.496982625513528,13.909064600196931,15383.163511343135,12.850354116776213
effective,LDWT,A2,approx_2,31.0,14.81238221252871,5.374693835097115,0.5601205729593485,3.010476590395674,16.0,1.5131761734499423,3.6182444942291427,12.280049697659408,13.812063070970293,14382.861100520306,96.80202015381978
local,Fixed-haar,L1_h0,lowpass,101.0,49.5,0.5,1.1357236167732239,0.5678618083866119,2.0,4.28958552572371,1.0,2.0,15.557304959111026,48218.69411322292,81.83251447290336
local,Fixed-haar,L1_h1,highpass,101.0,50.5,0.5,1.135723616773224,0.567861808386612,2.0,4.28958552572371,1.0,2.0,15.557304959111026,48218.69411322292,81.83251447290336
local,Fixed-haar,L2_h0,lowpass,101.0,49.5,0.5,1.1357236167732239,0.5678618083866119,2.0,4.28958552572371,1.0,2.0,15.557304959111026,48218.69411322292,81.83251447290336
